user_id,question_id,topic_id,correct,response_time,fsrs_rating,theta_before,theta_after,posterior_sd,created_at
2214b48b-0206-476d-8184-337281da959c,241,9,false,7.133,1,0,-0.440731679203721,0.89724036693526,2026-06-04 08:59:55.655294
2214b48b-0206-476d-8184-337281da959c,232,9,false,11.321,2,-0.440731679203721,-0.453225190598792,0.77362074897568,2026-06-04 09:00:09.875118
2214b48b-0206-476d-8184-337281da959c,233,9,true,10.302,3,-0.453225190598792,-0.136945261260353,0.72496340274783,2026-06-04 09:00:25.306728
2214b48b-0206-476d-8184-337281da959c,244,9,false,5.056,2,-0.136945261260353,-0.31582098814814,0.683220283531907,2026-06-04 09:00:35.156366
2214b48b-0206-476d-8184-337281da959c,243,9,false,4.487,2,-0.31582098814814,-0.45809831958541,0.652838856149533,2026-06-04 09:00:48.037211
2214b48b-0206-476d-8184-337281da959c,234,9,true,3.903,3,-0.45809831958541,-0.268136339458968,0.616480915218043,2026-06-04 09:00:56.600022
2214b48b-0206-476d-8184-337281da959c,241,9,false,8.471,1,-0.268136339458968,-0.431905993004986,0.590814149446213,2026-06-04 09:01:09.986054
2214b48b-0206-476d-8184-337281da959c,239,9,false,6.779,2,-0.431905993004986,-0.561210827685271,0.573745347540992,2026-06-04 09:01:24.184776
2214b48b-0206-476d-8184-337281da959c,229,9,true,3.961,4,-0.561210827685271,-0.404469437330887,0.546354177628557,2026-06-04 09:01:30.323638
2214b48b-0206-476d-8184-337281da959c,237,9,true,9.316,3,-0.404469437330887,-0.208641556081399,0.525278432587667,2026-06-04 09:01:42.168902
2214b48b-0206-476d-8184-337281da959c,242,9,false,20.536,2,-0.208641556081399,-0.119722070127708,0.490892281247376,2026-06-04 09:02:05.503303
2214b48b-0206-476d-8184-337281da959c,231,9,true,3.444,4,-0.119722070127708,-0.0598088074637347,0.483805849537216,2026-06-04 09:02:11.960315
2214b48b-0206-476d-8184-337281da959c,241,9,false,4.125,1,-0.0598088074637347,-0.176617372829038,0.470123946205591,2026-06-04 09:02:18.02302
2214b48b-0206-476d-8184-337281da959c,230,9,true,4.476,3,-0.176617372829038,-0.110219143505916,0.458272952438679,2026-06-04 09:02:30.084332
2214b48b-0206-476d-8184-337281da959c,227,9,true,5.97,4,-0.110219143505916,-0.0692924802554727,0.452324858958459,2026-06-04 09:02:38.89134
2214b48b-0206-476d-8184-337281da959c,228,9,true,2.414,4,-0.0692924802554727,-0.0303463170397569,0.44677588971646,2026-06-04 09:02:43.285618
2214b48b-0206-476d-8184-337281da959c,235,9,true,5.055,4,-0.0303463170397569,0.0272375733979278,0.44298819522528,2026-06-04 09:02:50.509708
2214b48b-0206-476d-8184-337281da959c,236,9,true,10.809,3,0.0272375733979278,0.0829677732188345,0.439130922397123,2026-06-04 09:03:03.456959
2214b48b-0206-476d-8184-337281da959c,240,9,false,3.886,1,0.0829677732188345,0.00392688539374671,0.42821541249912,2026-06-04 09:03:09.243699
2214b48b-0206-476d-8184-337281da959c,238,9,false,9.309,1,0.00392688539374671,-0.104960967762531,0.420798006403834,2026-06-04 09:03:21.079976
2214b48b-0206-476d-8184-337281da959c,241,9,false,6.66,1,-0.104960967762531,-0.192426763650369,0.412094221764571,2026-06-04 09:03:30.186607
2214b48b-0206-476d-8184-337281da959c,245,9,false,4.344,1,-0.192426763650369,-0.232153078567064,0.405551643254326,2026-06-04 09:03:37.945333
2214b48b-0206-476d-8184-337281da959c,246,9,true,15.894,3,-0.232153078567064,-0.0646562065550196,0.395618173044955,2026-06-04 09:03:57.261904
2214b48b-0206-476d-8184-337281da959c,248,9,true,2.298,3,-0.0646562065550196,0.0740863649999577,0.385254988040803,2026-06-04 09:04:06.350816
2214b48b-0206-476d-8184-337281da959c,249,9,true,22.413,3,0.0740863649999577,0.200886339424701,0.37602304569354,2026-06-04 09:04:32.818642
2214b48b-0206-476d-8184-337281da959c,240,9,false,4.202,1,0.200886339424701,0.137913629903897,0.369262060000961,2026-06-04 09:04:39.398818
2214b48b-0206-476d-8184-337281da959c,238,9,true,18.695,3,0.137913629903897,0.215328076923054,0.362436861080525,2026-06-04 09:05:01.661494
2214b48b-0206-476d-8184-337281da959c,245,9,true,4.617,4,0.215328076923054,0.26536949174813,0.362956183101897,2026-06-04 09:05:08.732796
2214b48b-0206-476d-8184-337281da959c,241,9,false,17.624,2,0.26536949174813,0.281253726914552,0.350279367236684,2026-06-04 09:05:28.658652
2214b48b-0206-476d-8184-337281da959c,247,9,false,12.465,1,0.281253726914552,0.219503726843565,0.343797862196871,2026-06-04 09:05:45.397572
2214b48b-0206-476d-8184-337281da959c,232,9,true,2.978,4,0.219503726843565,0.270860334606526,0.338295748752936,2026-06-04 09:05:52.753069
2214b48b-0206-476d-8184-337281da959c,240,9,true,10.604,3,0.270860334606526,0.30967458932218,0.336544302048673,2026-06-04 09:06:05.79084
2214b48b-0206-476d-8184-337281da959c,244,9,true,1.945,3,0.30967458932218,0.376020976787764,0.330513170222142,2026-06-04 09:06:11.340693
2214b48b-0206-476d-8184-337281da959c,239,9,true,2.493,3,0.376020976787764,0.419616939712826,0.326117049104114,2026-06-04 09:10:44.952724
2214b48b-0206-476d-8184-337281da959c,233,9,true,9.859,3,0.419616939712826,0.461020326738918,0.322087886831835,2026-06-04 09:10:58.462195
2214b48b-0206-476d-8184-337281da959c,234,9,false,2.479,2,0.461020326738918,0.38799665476814,0.318663016606879,2026-06-04 09:11:05.849227
2214b48b-0206-476d-8184-337281da959c,243,9,false,2.813,2,0.38799665476814,0.337020964697813,0.314096223286154,2026-06-04 09:11:13.00352
2214b48b-0206-476d-8184-337281da959c,241,9,false,1.813,1,0.337020964697813,0.274842120146641,0.31005923870602,2026-06-04 09:11:17.233472
2214b48b-0206-476d-8184-337281da959c,242,9,false,1.902,1,0.274842120146641,0.215880764536648,0.306308307504485,2026-06-04 09:11:21.611845
2214b48b-0206-476d-8184-337281da959c,247,9,false,3.604,1,0.215880764536648,0.1702967651107,0.302054905633283,2026-06-04 09:11:27.231819
2214b48b-0206-476d-8184-337281da959c,236,9,true,5.462,4,0.1702967651107,0.195627089384419,0.300319361950992,2026-06-04 09:13:21.461178
2214b48b-0206-476d-8184-337281da959c,230,9,true,3.391,4,0.195627089384419,0.216654369786645,0.297641659893554,2026-06-04 09:13:28.089888
2214b48b-0206-476d-8184-337281da959c,237,9,true,3.049,4,0.216654369786645,0.26596902336678,0.294011656688358,2026-06-04 09:13:33.820773
2214b48b-0206-476d-8184-337281da959c,241,9,false,13.437,1,0.26596902336678,0.213011428266529,0.290784885308604,2026-06-04 09:13:53.839495
2214b48b-0206-476d-8184-337281da959c,242,9,false,11.939,2,0.213011428266529,0.225823755514159,0.28411909767608,2026-06-04 09:14:08.772556
